ID,Region,Sub_Region,District,Education,Crop,Yield,Water_Source,Irrigation,Area_Planted_Ha,Production_MT,Crop_Purpose,Fertilizer_Use,Improved_Seed,Gender_HH_Head,Farm_Size_Acres,Income_UGX
741,Central,Buganda South,Masaka,Primary,Matooke,4.96,Borehole,No,2.39,11.85,Mainly own with some sale,No,No,Male,5.9,1158923
742,Western,Tooro,Kabarole,Primary,Sweet Potatoes,0.96,Borehole,No,3.96,3.8,Mainly own with some sale,Yes,No,Male,9.8,3201622
743,Western,Kigezi,Rukungiri,Secondary,Beans,2.27,River,No,1.88,4.27,Own consumption only,Yes,No,Male,4.6,321389
744,Western,Tooro,Kabarole,Secondary,Matooke,0.36,Rain,Yes,3.69,1.33,Mainly own with some sale,No,No,Male,9.1,2711913
745,Northern,Karamoja,Kotido,Secondary,Coffee,4.25,River,No,1.83,7.78,Own consumption only,No,No,Male,4.5,2291008
746,Northern,Karamoja,Kotido,Secondary,Sorghum,6.21,Rain,No,1.32,8.2,Mainly own with some sale,Yes,Yes,Male,3.3,1777650
747,Northern,Karamoja,Moroto,Primary,Sweet Potatoes,4.85,Rain,No,3.4,16.49,Own consumption only,Yes,Yes,Male,8.4,2555631
748,Eastern,Busoga,Jinja,Primary,Sweet Potatoes,1.41,River,Yes,2.41,3.4,Own consumption only,No,No,Male,6.0,1336430
749,Northern,Karamoja,Kotido,Primary,Coffee,1.4,Borehole,No,0.48,0.67,Own consumption only,No,Yes,Male,1.2,278447
750,Northern,West Nile,Nebbi,University,Maize,6.69,Borehole,No,4.8,32.11,Own consumption only,Yes,No,Female,11.9,1719720
751,Eastern,Teso,Kumi,Primary,Matooke,2.01,Borehole,No,1.86,3.74,Mainly own with some sale,Yes,Yes,Male,4.6,182766
752,Eastern,Elgon,Kapchorwa,Primary,Maize,2.89,Borehole,No,4.99,14.42,Mainly own with some sale,No,Yes,Male,12.3,461385
753,Central,Buganda South,Masaka,Primary,Cassava,2.63,River,No,2.59,6.81,Own consumption only,No,No,Male,6.4,1940146
754,Central,Buganda South,Wakiso,Primary,Millet,4.11,Borehole,Yes,3.88,15.95,Own consumption only,No,Yes,Male,9.6,3255955
755,Western,Ankole,Mbarara,Secondary,Coffee,4.99,Borehole,No,2.36,11.78,Own consumption only,No,No,Male,5.8,1627141
756,Central,Buganda South,Wakiso,None,Sorghum,2.35,River,No,4.95,11.63,Own consumption only,Yes,No,Male,12.2,715635
757,Western,Ankole,Bushenyi,Primary,Sorghum,1.38,River,No,2.3,3.17,Mainly own with some sale,No,Yes,Female,5.7,3211342
758,Eastern,Busoga,Jinja,Secondary,Sweet Potatoes,1.47,Rain,No,0.82,1.21,Own consumption only,Yes,Yes,Male,2.0,3447466
759,Central,Buganda South,Masaka,Primary,Cassava,4.57,Rain,No,2.57,11.74,Mainly own with some sale,Yes,Yes,Male,6.4,1094131
760,Eastern,Busoga,Jinja,Primary,Maize,5.95,Borehole,No,0.29,1.73,Mainly own with some sale,Yes,No,Male,0.7,1453659
761,Central,Buganda North,Luwero,University,Coffee,7.06,Borehole,No,0.87,6.14,Own consumption only,No,No,Male,2.1,2392433
762,Eastern,Teso,Kumi,Secondary,Rice,2.91,River,No,0.21,0.61,Own consumption only,No,Yes,Male,0.5,594718
763,Eastern,Bukedi,Tororo,Secondary,Sweet Potatoes,1.77,River,No,3.65,6.46,Own consumption only,No,No,Male,9.0,2268219
764,Western,Kigezi,Rukungiri,Secondary,Cassava,0.86,River,No,0.27,0.23,Mainly own with some sale,No,No,Male,0.7,2723697
765,Northern,Karamoja,Kotido,Primary,Matooke,0.65,Rain,No,5.32,3.46,Own consumption only,No,No,Male,13.1,1550465
766,Eastern,Elgon,Kapchorwa,Primary,Sorghum,6.63,Rain,No,2.01,13.33,Mainly own with some sale,Yes,No,Female,5.0,203687
767,Northern,Karamoja,Kotido,University,Coffee,6.08,Borehole,No,1.83,11.13,Own consumption only,No,Yes,Female,4.5,2847876
768,Eastern,Elgon,Kapchorwa,Secondary,Maize,3.35,Rain,No,0.88,2.95,Own consumption only,Yes,No,Male,2.2,3022875
769,Northern,Acholi,Kitgum,Primary,Matooke,6.64,Borehole,No,4.61,30.61,Own consumption only,No,Yes,Female,11.4,1107726
770,Central,Buganda North,Nakaseke,None,Groundnuts,2.06,Rain,Yes,2.09,4.31,Own consumption only,Yes,Yes,Male,5.2,3305454
771,Northern,Karamoja,Moroto,Primary,Sweet Potatoes,4.9,Borehole,No,2.24,10.98,Mainly own with some sale,Yes,No,Male,5.5,285150
772,Western,Bunyoro,Masindi,None,Matooke,3.97,River,No,2.55,10.12,Own consumption only,No,Yes,Male,6.3,1696064
773,Western,Ankole,Mbarara,Secondary,Maize,5.01,Borehole,No,3.76,18.84,Own consumption only,Yes,No,Male,9.3,1937500
774,Central,Buganda South,Masaka,University,Sweet Potatoes,6.32,River,No,4.19,26.48,Own consumption only,Yes,Yes,Female,10.4,2070967
775,Central,Buganda South,Wakiso,Primary,Sweet Potatoes,3.91,Borehole,No,3.12,12.2,Own consumption only,No,Yes,Male,7.7,1620413
776,Northern,Lango,Apac,Primary,Coffee,5.96,River,No,3.58,21.34,Mainly own with some sale,Yes,No,Male,8.8,2165074
777,Eastern,Elgon,Mbale,Primary,Cassava,1.24,Rain,Yes,3.09,3.83,Mainly own with some sale,No,No,Male,7.6,1108378
778,Central,Buganda North,Nakaseke,University,Sweet Potatoes,0.44,Rain,No,5.03,2.21,Own consumption only,No,No,Male,12.4,1844000
779,Eastern,Busoga,Iganga,Primary,Cassava,3.14,River,No,2.61,8.2,Own consumption only,Yes,No,Female,6.4,2031554
780,Northern,Acholi,Kitgum,Primary,Coffee,1.42,River,No,2.88,4.09,Own consumption only,Yes,Yes,Male,7.1,2098888
781,Central,Buganda North,Luwero,Primary,Matooke,4.54,River,No,0.2,0.91,Own consumption only,Yes,No,Male,0.5,2683200
782,Western,Ankole,Mbarara,Secondary,Beans,1.55,River,No,1.25,1.94,Own consumption only,Yes,No,Male,3.1,2518417
783,Central,Buganda South,Masaka,Primary,Cassava,1.74,River,No,4.09,7.12,Own consumption only,Yes,No,Male,10.1,1341890
784,Central,Buganda South,Wakiso,Primary,Sweet Potatoes,0.85,River,No,3.06,2.6,Own consumption only,No,Yes,Male,7.6,812714
785,Central,Buganda South,Masaka,Secondary,Cassava,3.91,Rain,No,3.46,13.53,Mainly own with some sale,No,Yes,Female,8.5,3367675
786,Northern,West Nile,Arua,University,Maize,2.42,Borehole,No,2.11,5.11,Own consumption only,No,Yes,Male,5.2,1208503
787,Eastern,Elgon,Mbale,University,Sweet Potatoes,3.86,River,No,2.35,9.07,Own consumption only,No,No,Male,5.8,366486
788,Northern,Karamoja,Moroto,Primary,Millet,0.39,Borehole,No,4.83,1.88,Own consumption only,Yes,No,Male,11.9,405658
789,Western,Ankole,Mbarara,Secondary,Rice,1.79,Borehole,No,2.23,3.99,Mainly own with some sale,No,Yes,Male,5.5,3269063
790,Western,Bunyoro,Masindi,Secondary,Sweet Potatoes,6.75,Rain,No,1.36,9.18,Mainly own with some sale,Yes,No,Male,3.4,518863
791,Eastern,Teso,Kumi,Primary,Millet,3.6,Borehole,No,0.28,1.01,Own consumption only,No,Yes,Male,0.7,2324758
792,Western,Kigezi,Kabale,None,Rice,3.35,Rain,No,0.62,2.08,Mainly own with some sale,No,Yes,Female,1.5,1296204
793,Central,Buganda North,Nakaseke,None,Matooke,2.17,Borehole,No,4.88,10.59,Own consumption only,No,Yes,Male,12.1,2045618
794,Northern,Karamoja,Moroto,University,Cassava,6.92,River,No,3.16,21.87,Mainly own with some sale,No,Yes,Male,7.8,2998768
795,Western,Kigezi,Rukungiri,Primary,Beans,6.11,Rain,No,5.21,31.83,Mainly own with some sale,No,No,Male,12.9,404371
796,Northern,Karamoja,Moroto,University,Beans,5.07,River,No,0.51,2.59,Mainly own with some sale,No,No,Male,1.3,2351016
797,Eastern,Teso,Soroti,Primary,Matooke,3.13,Rain,No,3.6,11.27,Own consumption only,No,No,Female,8.9,3272055
798,Western,Bunyoro,Masindi,Primary,Millet,2.48,Rain,No,4.06,10.07,Mainly own with some sale,Yes,No,Male,10.0,381414
799,Western,Tooro,Fort Portal,Primary,Sweet Potatoes,6.66,Borehole,No,2.72,18.12,Own consumption only,Yes,Yes,Male,6.7,3063293
800,Western,Bunyoro,Hoima,Primary,Cassava,3.68,River,No,4.07,14.98,Mainly own with some sale,Yes,No,Female,10.1,964811
801,Eastern,Teso,Kumi,Secondary,Maize,2.87,Rain,No,4.08,11.71,Mainly own with some sale,Yes,Yes,Male,10.1,1849660
802,Northern,West Nile,Nebbi,Secondary,Coffee,7.18,Rain,No,2.95,21.18,Mainly own with some sale,Yes,Yes,Male,7.3,2118921
803,Eastern,Elgon,Kapchorwa,Primary,Cassava,3.12,Borehole,No,0.88,2.75,Mainly own with some sale,No,Yes,Male,2.2,1859910
804,Northern,Acholi,Pader,Primary,Beans,1.67,Borehole,No,3.68,6.15,Own consumption only,No,Yes,Female,9.1,1938243
805,Northern,Lango,Lira,Primary,Millet,5.1,River,No,1.58,8.06,Own consumption only,Yes,Yes,Male,3.9,2687572
806,Western,Bunyoro,Hoima,Primary,Rice,4.44,River,No,2.42,10.74,Own consumption only,Yes,Yes,Male,6.0,2335132
807,Northern,Lango,Lira,Primary,Maize,6.8,Borehole,No,3.3,22.44,Own consumption only,No,Yes,Male,8.2,3083794
808,Northern,West Nile,Arua,Secondary,Beans,2.2,Rain,No,3.6,7.92,Own consumption only,Yes,Yes,Male,8.9,1320473
809,Central,Buganda North,Nakaseke,Primary,Beans,1.55,Rain,No,1.07,1.66,Mainly own with some sale,Yes,No,Male,2.6,2237784
810,Northern,Lango,Apac,Secondary,Beans,1.49,Rain,No,0.67,1.0,Own consumption only,No,Yes,Female,1.7,1045596
811,Northern,Karamoja,Moroto,Primary,Matooke,2.14,Rain,No,1.76,3.77,Mainly own with some sale,Yes,No,Female,4.3,2938956
812,Western,Tooro,Fort Portal,Primary,Groundnuts,5.38,Borehole,No,0.3,1.61,Mainly own with some sale,No,Yes,Male,0.7,1996780
813,Western,Kigezi,Rukungiri,Primary,Groundnuts,3.75,Rain,No,4.75,17.81,Mainly own with some sale,No,No,Female,11.7,1241174
814,Eastern,Elgon,Mbale,Primary,Coffee,0.88,Rain,No,4.46,3.92,Own consumption only,Yes,No,Male,11.0,3393190
815,Northern,Acholi,Kitgum,Primary,Rice,6.96,Borehole,No,1.17,8.14,Mainly own with some sale,Yes,No,Male,2.9,3441987
816,Eastern,Bukedi,Tororo,Primary,Groundnuts,3.1,Rain,No,1.43,4.43,Own consumption only,No,Yes,Male,3.5,2654973
817,Northern,Acholi,Kitgum,Primary,Sweet Potatoes,4.73,Borehole,No,3.69,17.45,Own consumption only,No,No,Male,9.1,1148899
818,Central,Buganda North,Luwero,Secondary,Rice,2.39,River,No,4.84,11.57,Mainly own with some sale,No,No,Female,12.0,300653
819,Northern,Karamoja,Moroto,Primary,Coffee,4.92,River,No,0.48,2.36,Own consumption only,Yes,No,Male,1.2,566690
820,Western,Kigezi,Kabale,Secondary,Groundnuts,5.01,Borehole,Yes,0.65,3.26,Mainly own with some sale,No,Yes,Female,1.6,1159260
821,Northern,Acholi,Kitgum,Primary,Coffee,0.87,River,No,3.37,2.93,Own consumption only,Yes,Yes,Male,8.3,2148053
822,Eastern,Busoga,Jinja,Secondary,Maize,1.46,River,No,2.23,3.26,Own consumption only,Yes,Yes,Male,5.5,554911
823,Eastern,Bukedi,Tororo,None,Matooke,6.73,River,No,5.4,36.34,Own consumption only,Yes,Yes,Male,13.3,2430315
824,Eastern,Elgon,Kapchorwa,Secondary,Sorghum,4.52,Borehole,No,0.94,4.25,Mainly own with some sale,Yes,No,Male,2.3,3251373
825,Western,Tooro,Kabarole,Primary,Matooke,5.65,Rain,No,1.78,10.06,Mainly own with some sale,No,Yes,Male,4.4,1617256
826,Western,Tooro,Fort Portal,None,Sweet Potatoes,3.34,River,No,2.96,9.89,Own consumption only,No,No,Male,7.3,409021
827,Northern,Karamoja,Moroto,Primary,Sorghum,3.16,Borehole,Yes,3.36,10.62,Mainly own with some sale,No,No,Male,8.3,239360
828,Western,Kigezi,Kabale,Primary,Sorghum,6.72,Rain,Yes,0.44,2.96,Own consumption only,Yes,No,Male,1.1,2032930
829,Northern,Karamoja,Kotido,Primary,Sweet Potatoes,3.6,Borehole,Yes,3.23,11.63,Mainly own with some sale,No,No,Female,8.0,1208213
830,Northern,Lango,Lira,Primary,Maize,5.3,Rain,No,0.56,2.97,Own consumption only,Yes,No,Male,1.4,684633
831,Northern,Karamoja,Kotido,Primary,Cassava,6.63,River,No,4.17,27.65,Mainly own with some sale,Yes,Yes,Male,10.3,382117
832,Western,Tooro,Fort Portal,Primary,Beans,5.04,Borehole,No,4.12,20.76,Mainly own with some sale,No,No,Male,10.2,2552114
833,Eastern,Busoga,Iganga,Primary,Rice,7.11,Rain,Yes,2.76,19.62,Own consumption only,No,No,Male,6.8,1512836
834,Western,Kigezi,Rukungiri,University,Groundnuts,0.35,Borehole,No,2.03,0.71,Mainly own with some sale,No,Yes,Male,5.0,1017392
835,Western,Bunyoro,Hoima,Primary,Sorghum,1.91,Borehole,No,1.48,2.83,Mainly own with some sale,Yes,No,Male,3.7,259779
836,Northern,West Nile,Nebbi,Secondary,Beans,2.58,Borehole,Yes,2.81,7.25,Mainly own with some sale,No,Yes,Male,6.9,3450791
837,Western,Bunyoro,Hoima,None,Coffee,2.26,River,No,4.01,9.06,Mainly own with some sale,Yes,Yes,Male,9.9,156464
838,Central,Buganda North,Nakaseke,Primary,Sorghum,5.39,River,No,2.73,14.71,Own consumption only,No,No,Male,6.7,3196672
839,Northern,Karamoja,Moroto,Primary,Beans,7.07,River,Yes,4.46,31.53,Mainly own with some sale,No,No,Male,11.0,3328497
840,Western,Kigezi,Rukungiri,Secondary,Sweet Potatoes,3.39,Rain,No,1.23,4.17,Own consumption only,No,No,Female,3.0,1999388
841,Northern,Acholi,Pader,Primary,Rice,2.19,Rain,No,0.41,0.9,Own consumption only,Yes,No,Male,1.0,2615596
842,Western,Ankole,Ntungamo,Secondary,Rice,1.05,Borehole,No,4.25,4.46,Own consumption only,Yes,No,Male,10.5,2963590
843,Eastern,Busoga,Iganga,University,Sweet Potatoes,4.62,Rain,No,4.9,22.64,Mainly own with some sale,No,No,Male,12.1,447542
844,Western,Kigezi,Rukungiri,Primary,Maize,5.92,River,Yes,3.36,19.89,Own consumption only,No,Yes,Male,8.3,1694247
845,Northern,Karamoja,Kotido,Primary,Beans,5.54,River,No,2.99,16.56,Mainly own with some sale,No,Yes,Male,7.4,694344
846,Eastern,Busoga,Iganga,Primary,Rice,0.8,Rain,No,2.39,1.91,Own consumption only,Yes,No,Male,5.9,2591559
847,Eastern,Elgon,Kapchorwa,University,Beans,4.05,Rain,No,1.3,5.26,Mainly own with some sale,Yes,No,Female,3.2,2562660
848,Western,Ankole,Ntungamo,Primary,Beans,1.72,Borehole,No,5.32,9.15,Mainly own with some sale,Yes,Yes,Male,13.1,1067999
849,Central,Buganda South,Wakiso,Secondary,Matooke,2.56,River,No,5.06,12.95,Mainly own with some sale,No,Yes,Female,12.5,3490552
850,Western,Tooro,Fort Portal,Secondary,Rice,3.51,River,No,1.56,5.48,Mainly own with some sale,No,No,Male,3.9,1368015
851,Eastern,Bukedi,Tororo,Primary,Maize,6.63,Rain,No,1.21,8.02,Own consumption only,Yes,Yes,Female,3.0,1939639
852,Central,Buganda South,Masaka,Secondary,Groundnuts,4.45,Rain,No,4.39,19.54,Own consumption only,Yes,Yes,Male,10.8,3361407
853,Western,Kigezi,Rukungiri,Secondary,Cassava,3.5,Rain,No,3.29,11.52,Mainly own with some sale,No,No,Male,8.1,2563081
854,Northern,Karamoja,Kotido,Primary,Rice,1.79,Borehole,No,2.76,4.94,Mainly own with some sale,No,Yes,Female,6.8,2878491
855,Northern,Acholi,Kitgum,Secondary,Millet,2.04,River,No,3.95,8.06,Own consumption only,Yes,Yes,Male,9.8,1148653
856,Eastern,Teso,Kumi,Secondary,Groundnuts,6.21,River,No,4.11,25.52,Mainly own with some sale,No,Yes,Male,10.2,266220
857,Northern,West Nile,Nebbi,None,Matooke,6.49,Borehole,No,0.56,3.63,Own consumption only,Yes,No,Male,1.4,387103
858,Central,Buganda North,Luwero,None,Cassava,6.3,Borehole,No,2.0,12.6,Own consumption only,No,Yes,Male,4.9,2509830
859,Eastern,Bukedi,Tororo,Primary,Rice,4.68,Rain,No,3.04,14.23,Own consumption only,Yes,No,Female,7.5,2135404
860,Central,Buganda North,Nakaseke,University,Cassava,2.13,River,No,1.82,3.88,Mainly own with some sale,No,Yes,Male,4.5,325037
861,Central,Buganda North,Nakaseke,Primary,Rice,0.7,Rain,No,2.76,1.93,Mainly own with some sale,No,Yes,Male,6.8,1529339
862,Northern,Acholi,Gulu,Secondary,Sweet Potatoes,1.57,Borehole,No,4.02,6.31,Mainly own with some sale,No,No,Male,9.9,3405604
863,Central,Buganda South,Masaka,Secondary,Rice,5.86,Rain,No,1.25,7.33,Mainly own with some sale,No,Yes,Female,3.1,692955
864,Western,Ankole,Ntungamo,Primary,Maize,6.46,River,No,0.57,3.68,Mainly own with some sale,Yes,No,Male,1.4,2941241
865,Eastern,Busoga,Jinja,Secondary,Groundnuts,0.64,Borehole,No,0.42,0.27,Mainly own with some sale,Yes,No,Male,1.0,582184
866,Northern,West Nile,Nebbi,None,Sweet Potatoes,3.58,River,No,2.63,9.42,Mainly own with some sale,Yes,No,Male,6.5,3211481
867,Western,Kigezi,Kabale,None,Cassava,5.76,Rain,No,2.67,15.38,Own consumption only,No,Yes,Female,6.6,3111937
868,Northern,Acholi,Pader,Primary,Sorghum,4.56,River,No,2.28,10.4,Mainly own with some sale,No,Yes,Female,5.6,584352
869,Northern,Lango,Lira,Secondary,Groundnuts,4.2,Rain,No,4.8,20.16,Own consumption only,No,Yes,Male,11.9,1404329
870,Eastern,Busoga,Iganga,University,Millet,1.47,Rain,No,1.61,2.37,Own consumption only,No,Yes,Male,4.0,1881765
871,Western,Tooro,Kabarole,Primary,Rice,1.82,Borehole,No,1.88,3.42,Own consumption only,No,No,Male,4.6,1508308
872,Western,Bunyoro,Hoima,University,Groundnuts,0.37,Borehole,No,3.88,1.44,Mainly own with some sale,Yes,No,Male,9.6,1142652
873,Eastern,Bukedi,Tororo,None,Beans,5.26,Borehole,No,1.22,6.42,Own consumption only,Yes,No,Male,3.0,816978
874,Central,Buganda South,Wakiso,Secondary,Millet,3.57,Borehole,No,4.21,15.03,Mainly own with some sale,Yes,Yes,Male,10.4,2682838
875,Eastern,Elgon,Kapchorwa,Secondary,Matooke,6.87,Borehole,No,1.29,8.86,Own consumption only,No,No,Male,3.2,371439
876,Northern,Acholi,Kitgum,Secondary,Groundnuts,4.01,Borehole,No,0.66,2.65,Mainly own with some sale,No,Yes,Male,1.6,2567209
877,Northern,West Nile,Arua,Primary,Groundnuts,3.26,Rain,No,0.73,2.38,Mainly own with some sale,Yes,No,Male,1.8,1166462
878,Western,Bunyoro,Masindi,Primary,Sorghum,3.05,Borehole,No,1.84,5.61,Mainly own with some sale,No,Yes,Male,4.5,3299409
879,Central,Buganda South,Wakiso,Primary,Coffee,4.72,River,No,3.53,16.66,Own consumption only,No,Yes,Male,8.7,2434798
880,Western,Tooro,Kabarole,None,Millet,2.31,River,No,1.49,3.44,Own consumption only,No,No,Male,3.7,3376458
881,Eastern,Elgon,Mbale,None,Sorghum,6.4,Borehole,No,3.29,21.06,Own consumption only,Yes,Yes,Male,8.1,2527942
882,Western,Ankole,Bushenyi,None,Groundnuts,1.2,Borehole,No,5.15,6.18,Own consumption only,No,Yes,Male,12.7,316991
883,Northern,Karamoja,Kotido,University,Matooke,6.26,Borehole,No,4.43,27.73,Mainly own with some sale,No,Yes,Female,10.9,581739
884,Northern,Acholi,Pader,Secondary,Rice,0.51,Borehole,No,0.79,0.4,Mainly own with some sale,Yes,Yes,Female,2.0,1566084
885,Northern,Acholi,Kitgum,Secondary,Matooke,6.22,Borehole,No,2.69,16.73,Own consumption only,Yes,No,Male,6.6,2173969
886,Western,Ankole,Bushenyi,Primary,Cassava,7.12,Rain,No,2.02,14.38,Mainly own with some sale,No,Yes,Female,5.0,1741986
887,Eastern,Bukedi,Tororo,Secondary,Millet,5.27,Rain,No,0.71,3.74,Own consumption only,No,Yes,Male,1.8,1635619
888,Western,Tooro,Fort Portal,Secondary,Maize,3.45,Rain,No,5.16,17.8,Own consumption only,No,Yes,Female,12.8,1693971
889,Western,Kigezi,Kabale,Secondary,Rice,3.82,Borehole,No,1.53,5.84,Own consumption only,No,No,Female,3.8,3168099
890,Central,Buganda South,Wakiso,None,Beans,6.44,Borehole,No,3.1,19.96,Own consumption only,Yes,No,Male,7.7,3211996
891,Central,Buganda North,Nakaseke,Primary,Sorghum,3.01,Rain,No,4.55,13.7,Mainly own with some sale,No,Yes,Female,11.2,2498215
892,Eastern,Busoga,Jinja,Primary,Cassava,3.01,Rain,No,3.98,11.98,Mainly own with some sale,Yes,Yes,Male,9.8,1502382
893,Western,Kigezi,Kabale,None,Beans,4.01,Borehole,No,5.29,21.21,Own consumption only,Yes,Yes,Female,13.1,1875812
894,Western,Bunyoro,Masindi,None,Matooke,3.98,River,No,3.05,12.14,Mainly own with some sale,No,No,Male,7.5,3150264
895,Central,Buganda South,Masaka,None,Coffee,5.1,River,No,3.08,15.71,Mainly own with some sale,Yes,Yes,Male,7.6,1088624
896,Eastern,Teso,Kumi,Secondary,Sorghum,0.52,Borehole,No,1.47,0.76,Mainly own with some sale,No,Yes,Male,3.6,2720348
897,Northern,Acholi,Kitgum,Primary,Sorghum,1.29,River,No,1.45,1.87,Mainly own with some sale,Yes,No,Female,3.6,3493014
898,Northern,Acholi,Kitgum,University,Beans,6.29,Borehole,No,3.22,20.25,Mainly own with some sale,No,Yes,Male,8.0,1844408
899,Northern,West Nile,Nebbi,Primary,Matooke,4.44,Borehole,Yes,0.86,3.82,Own consumption only,No,No,Male,2.1,890045
900,Western,Bunyoro,Hoima,None,Matooke,1.12,Borehole,No,1.61,1.8,Own consumption only,Yes,Yes,Male,4.0,1344601
901,Eastern,Bukedi,Busia,University,Beans,0.35,River,No,3.97,1.39,Mainly own with some sale,No,No,Female,9.8,2804525
902,Northern,Karamoja,Moroto,Primary,Beans,4.49,River,No,3.99,17.92,Own consumption only,No,Yes,Male,9.9,3012862
903,Northern,West Nile,Nebbi,Primary,Sorghum,3.18,River,Yes,4.52,14.37,Own consumption only,Yes,No,Male,11.2,1711232
904,Eastern,Busoga,Iganga,Primary,Maize,6.36,River,No,1.55,9.86,Mainly own with some sale,No,Yes,Male,3.8,2159810
905,Eastern,Bukedi,Tororo,Primary,Matooke,7.04,Rain,No,2.27,15.98,Mainly own with some sale,No,Yes,Male,5.6,435291
906,Northern,Karamoja,Kotido,None,Sorghum,6.22,Rain,No,4.32,26.87,Own consumption only,Yes,Yes,Male,10.7,415976
907,Western,Tooro,Fort Portal,Secondary,Sorghum,2.57,Borehole,No,2.37,6.09,Own consumption only,Yes,No,Male,5.9,2108615
908,Eastern,Bukedi,Tororo,None,Groundnuts,7.11,River,No,3.87,27.52,Mainly own with some sale,No,No,Male,9.6,679954
909,Central,Buganda North,Nakaseke,Secondary,Groundnuts,3.88,River,No,1.58,6.13,Mainly own with some sale,Yes,No,Male,3.9,362204
910,Eastern,Busoga,Jinja,Primary,Sweet Potatoes,6.71,River,No,1.77,11.88,Own consumption only,No,Yes,Male,4.4,2360186
911,Western,Bunyoro,Masindi,Primary,Sorghum,1.03,Rain,No,3.95,4.07,Own consumption only,Yes,No,Male,9.8,1677573
912,Western,Ankole,Bushenyi,None,Millet,0.54,River,No,3.0,1.62,Mainly own with some sale,No,Yes,Male,7.4,1168543
913,Eastern,Teso,Kumi,Primary,Beans,1.43,River,No,4.41,6.31,Own consumption only,No,Yes,Female,10.9,687691
914,Eastern,Bukedi,Tororo,None,Rice,5.42,Rain,No,0.88,4.77,Mainly own with some sale,Yes,No,Female,2.2,3249834
915,Western,Bunyoro,Hoima,Secondary,Rice,5.97,Borehole,No,2.25,13.43,Mainly own with some sale,Yes,No,Male,5.6,758434
916,Eastern,Busoga,Iganga,Secondary,Maize,2.12,River,No,5.49,11.64,Own consumption only,Yes,Yes,Male,13.6,691797
917,Northern,West Nile,Arua,Secondary,Maize,0.93,Borehole,No,0.31,0.29,Own consumption only,No,Yes,Male,0.8,2959317
918,Central,Buganda South,Masaka,None,Rice,2.8,Rain,No,0.41,1.15,Mainly own with some sale,No,No,Female,1.0,2130425
919,Western,Ankole,Mbarara,Primary,Maize,3.92,Borehole,No,1.85,7.25,Mainly own with some sale,No,Yes,Male,4.6,1505097
920,Western,Bunyoro,Hoima,None,Maize,0.69,Rain,No,1.83,1.26,Own consumption only,Yes,Yes,Male,4.5,1521446
921,Northern,Lango,Apac,Primary,Sorghum,4.93,River,Yes,0.61,3.01,Mainly own with some sale,No,Yes,Male,1.5,623919
922,Western,Bunyoro,Hoima,None,Groundnuts,6.59,River,No,0.74,4.88,Mainly own with some sale,Yes,Yes,Male,1.8,2438910
923,Northern,West Nile,Nebbi,Secondary,Sorghum,4.32,Rain,No,4.21,18.19,Own consumption only,Yes,No,Male,10.4,384085
924,Eastern,Teso,Soroti,Primary,Sweet Potatoes,1.7,Rain,No,0.78,1.33,Mainly own with some sale,Yes,No,Male,1.9,2887968
925,Northern,Lango,Lira,Secondary,Cassava,5.24,River,No,4.64,24.31,Own consumption only,No,No,Male,11.5,2082360
926,Eastern,Bukedi,Busia,Primary,Sorghum,0.83,Rain,No,3.48,2.89,Own consumption only,No,No,Male,8.6,2207017
927,Western,Kigezi,Rukungiri,Secondary,Cassava,5.88,Rain,No,3.7,21.76,Own consumption only,Yes,Yes,Male,9.1,3119053
928,Northern,Karamoja,Moroto,Primary,Rice,5.21,Rain,No,1.08,5.63,Own consumption only,No,Yes,Female,2.7,2740179
929,Eastern,Elgon,Kapchorwa,Secondary,Sweet Potatoes,4.76,River,No,0.98,4.66,Own consumption only,No,Yes,Female,2.4,1351988
930,Central,Buganda North,Nakaseke,Primary,Rice,0.32,River,No,1.08,0.35,Own consumption only,Yes,Yes,Male,2.7,1472521
931,Northern,Acholi,Gulu,Secondary,Matooke,4.83,River,No,0.75,3.62,Mainly own with some sale,No,Yes,Male,1.9,3263506
932,Northern,West Nile,Arua,Primary,Coffee,1.29,Rain,No,0.69,0.89,Own consumption only,No,No,Male,1.7,901972
933,Eastern,Bukedi,Busia,Secondary,Beans,0.9,Rain,No,3.09,2.78,Mainly own with some sale,Yes,No,Male,7.6,544798
934,Eastern,Busoga,Jinja,Secondary,Coffee,1.49,Rain,No,0.74,1.1,Own consumption only,Yes,No,Male,1.8,2149085
935,Northern,West Nile,Arua,None,Coffee,7.1,River,No,5.39,38.27,Own consumption only,Yes,Yes,Female,13.3,597875
936,Eastern,Teso,Kumi,Primary,Maize,1.8,River,Yes,2.79,5.02,Mainly own with some sale,Yes,Yes,Female,6.9,469849
937,Northern,Karamoja,Kotido,Primary,Sweet Potatoes,3.57,Rain,No,3.51,12.53,Mainly own with some sale,Yes,Yes,Male,8.7,1641625
938,Western,Tooro,Kabarole,None,Cassava,2.37,Borehole,No,3.81,9.03,Own consumption only,No,No,Male,9.4,1430101
939,Western,Tooro,Kabarole,Secondary,Sweet Potatoes,6.6,Rain,No,3.27,21.58,Mainly own with some sale,Yes,No,Male,8.1,2166307
940,Eastern,Bukedi,Tororo,None,Sweet Potatoes,5.61,River,No,0.65,3.65,Mainly own with some sale,Yes,No,Male,1.6,2207244
