ID,Region,District,Education,Yield,Age,Gender,Income,Water_Source,Crop,Year,Main_Income,Food_Months,Savings_UGX,Coping_Strategy
499,Central,Kampala,University,6.03088477655761,24,Female,386478,Well,Cassava,2024,Business,3,430340,Reduce Meals
500,Western,Kampala,Secondary,1.9281140835740649,37,Male,1790196,Tap,Beans,2023,Casual,3,104222,None
501,Northern,Lira,University,5.72333906547567,42,Female,1736862,River,Cassava,2022,Farming,7,1316,None
502,Central,Arua,None,0.2,62,Male,1652626,River,Cassava,2023,Business,8,464206,Reduce Meals
503,Central,Kampala,University,8.055198484453252,52,Female,351397,Well,Coffee,2023,Casual,7,60046,None
504,Western,Arua,Primary,2.688416008297428,61,Male,1913149,Tap,Maize,2023,Business,4,340787,None
505,Northern,Gulu,University,6.674061027053166,41,Female,714507,Tap,Maize,2024,Farming,11,462826,Borrow
506,Central,Mbarara,None,0.48251481391891826,57,Female,1100173,Well,Cassava,2022,Casual,7,479940,Reduce Meals
507,Western,Kampala,Secondary,4.229779263234624,30,Female,716529,Borehole,Beans,2024,Farming,7,244187,Reduce Meals
508,Northern,Lira,Secondary,3.352020122344666,56,Male,1381051,Well,Cassava,2023,Farming,11,359648,Reduce Meals
509,Western,Gulu,Primary,2.6740185566206036,21,Male,1567691,Tap,Maize,2022,Business,5,115594,None
510,Eastern,Arua,Primary,2.7457339829213536,29,Male,973559,Borehole,Beans,2024,Business,7,64042,None
511,Central,Gulu,None,0.3386162976432562,34,Female,647246,River,Maize,2023,Business,7,499141,None
512,Eastern,Kampala,Primary,1.619538035177594,18,Female,1845906,Borehole,Coffee,2022,Casual,4,128295,Reduce Meals
513,Northern,Arua,Secondary,5.162199354595118,34,Male,1343771,River,Maize,2022,Casual,6,154174,None
514,Eastern,Mbarara,Primary,2.4471400457086996,19,Male,1911527,Tap,Beans,2023,Business,4,260737,Reduce Meals
515,Eastern,Gulu,Primary,1.7189795707351094,23,Female,589288,Well,Beans,2022,Casual,7,114430,None
516,Northern,Kampala,None,0.8294936983104809,61,Female,999428,Well,Cassava,2022,Casual,4,238030,Reduce Meals
517,Western,Lira,University,5.789405913293392,28,Female,1220868,Well,Beans,2024,Business,11,387926,Borrow
518,Eastern,Arua,Primary,2.4328164193380832,60,Female,1038917,Well,Coffee,2022,Farming,8,425173,None
519,Western,Gulu,Primary,3.3316283076644684,35,Male,247830,Well,Maize,2024,Casual,10,406088,Reduce Meals
520,Eastern,Gulu,None,1.1723293324057387,57,Male,1282946,Tap,Cassava,2024,Casual,11,50094,Borrow
